"marker","cluster","BvsT1","T1vsT2","B_RvsNR","T1_RvsNR","T2_RvsNR","d_T1_B_RvsNR","d_T2_B_RvsNR","d_T2_T1_RvsNR","mean_d_T1_B_R","mean_d_T1_B_NR","mean_d_T2_B_R","mean_d_T2_B_NR","mean_d_T2_T1_R","mean_d_T2_T1_NR"
"CD116","pDC","0.132","0.77","0.383","0.721","0.762","0.799","0.914","0.914","0.032","0.08","-0.008","0.059","-0.068","-0.001"
"CD116","UA","0.243","0.695","0.646","0.721","1","0.279","0.257","0.914","0.024","-0.173","0.004","-0.286","-0.054","-0.099"
"CD11B","B","0.854","0.375","0.13","0.799","0.914","0.234","0.171","0.257","0.13","-0.02","0.317","0.039","0.169","-0.005"
"CD11B","Baso","0.678","0.232","0.799","0.799","0.476","0.574","0.257","0.762","0.104","0.008","0.582","0.113","0.432","0.024"
"CD11B","CD4_T","0.962","0.838","0.574","0.916","0.914","0.712","0.257","0.453","0.088","0.003","0.242","0.02","0.125","0.018"
"CD11B","CD8_T","0.813","0.695","0.799","0.879","0.762","0.268","0.352","0.914","0.163","-0.013","0.212","0.015","0.008","0.013"
"CD11B","cDC1","0.19","0.375","0.279","0.16","0.61","0.004","0.476","0.257","0.342","-0.006","-0.153","0.169","-0.546","0.052"
"CD11B","cDC2","0.243","0.922","0.506","0.574","0.914","0.721","0.257","1","0.04","-0.066","0.118","-0.074","0.023","0.009"
"CD11B","DNT","0.252","0.107","0.18","0.32","0.063","0.661","0.905","1","-0.062","-0.033","-0.084","-0.095","-0.042","-0.095"
"CD11B","DPT","0.963","0.77","0.721","0.879","0.257","0.959","0.352","0.476","0.059","0.015","0.207","0.036","0.107","0.024"
"CD11B","GMDSC","0.188","0.131","0.054","0.661","0.067","0.013","0.73","0.01","0.298","-0.005","0","-0.076","-0.327","0.056"
"CD11B","MMDSC_I","0.528","0.129","0.799","0.827","0.914","0.51","0.476","0.73","0.124","0.031","0.024","-0.086","-0.177","-0.17"
"CD11B","MMDSC_II","0.068","0.037","1","0.267","0.762","0.435","0.886","0.914","0.309","0.102","0.032","0.078","-0.3","-0.093"
"CD11B","MMDSC_III","0.028","0.375","0.279","0.442","0.762","0.328","0.61","0.476","0.164","0.169","-0.027","0.197","-0.224","-0.027"
"CD11B","Mono_I","0.353","0.557","0.383","0.234","0.914","0.442","0.762","0.476","0.175","0.114","-0.097","0.097","-0.406","-0.064"
"CD11B","Mono_II","1","0.432","0.18","0.879","0.114","0.743","0.914","0.762","-0.109","-0.042","-0.251","-0.36","-0.14","-0.352"
"CD11B","Mono_III","0.404","0.322","0.383","0.234","0.61","0.879","0.914","0.914","0.164","0.132","0.07","-0.031","-0.187","-0.204"
"CD11B","Neu","0.517","0.049","0.506","0.126","0.61","0.019","0.352","0.352","0.207","-0.06","0.026","-0.057","-0.234","-0.064"
"CD11B","NK_like","1","0.084","0.104","0.104","0.476","0.328","0.762","0.257","0.077","0.013","-0.049","-0.031","-0.155","-0.05"
"CD11B","pDC","0.08","0.846","0.874","0.268","1","0.799","0.61","0.61","0.18","0.084","0.172","0.102","-0.083","0.005"
"CD11B","UA","0.517","0.432","0.527","0.13","0.476","0.506","0.914","0.257","0.123","0.01","-0.006","0.101","-0.182","0.035"
"CD11C","B","0.207","0.02","0.195","0.959","0.762","0.082","0.61","0.914","0.252","0.016","0.382","0.342","0.17","0.18"
"CD11C","Baso","0.12","0.232","0.506","0.574","0.257","0.442","0.914","0.762","0.193","0.138","0.514","0.287","0.278","0.148"
"CD11C","CD4_T","0.055","0.922","0.46","0.792","0.61","0.082","0.915","0.762","0.095","0.005","0.126","0.064","0.008","0.053"
"CD11C","CD8_T","0.035","0.695","0.958","0.16","0.476","0.004","0.352","0.476","0.347","0.02","0.329","0.103","-0.082","0.065"
"CD11C","cDC1","0.579","0.232","0.879","0.958","0.762","0.959","0.61","0.762","-0.041","0.033","-0.14","0.099","-0.052","-0.069"
"CD11C","cDC2","0.04","0.432","0.506","0.383","0.257","0.442","0.257","1","0.194","0.109","0.134","-0.025","-0.092","-0.122"
"CD11C","DNT","0.001","0.055","0.827","0.51","0.905","0.145","0.19","0.413","0.857","0.211","0.45","-0.039","-0.542","-0.261"
"CD11C","DPT","0.098","0.275","0.874","0.234","0.257","0.13","0.762","0.61","0.368","0.068","0.169","0.13","-0.31","0.009"
"CD11C","GMDSC","0.762","0.492","0.441","0.913","1","0.254","0.556","1","-0.221","0.258","-0.429","-0.062","-0.149","0.003"
"CD11C","MMDSC_I","0.495","0.074","0.574","0.743","0.521","0.583","0.61","0.73","0.134","0.058","0.021","-0.074","-0.151","-0.272"
"CD11C","MMDSC_II","0.244","0.375","0.898","0.51","0.762","1","0.486","0.476","-0.096","-0.066","-0.114","-0.278","-0.041","-0.109"
"CD11C","MMDSC_III","0.963","0.037","0.506","0.646","0.762","0.799","0.914","1","0.023","0.015","-0.127","-0.134","-0.133","-0.176"
"CD11C","Mono_I","0.263","0.16","0.16","0.082","0.336","0.506","0.914","0.762","0.153","0.117","-0.143","0.02","-0.374","-0.181"
"CD11C","Mono_II","0.587","0.322","0.913","0.799","0.171","0.692","0.61","0.171","0.14","0.049","0.188","-0.087","0.044","-0.238"
"CD11C","Mono_III","0.132","0.193","0.342","0.279","0.352","0.799","1","0.61","0.181","0.107","0.075","-0.063","-0.15","-0.236"
"CD11C","Neu","0.225","0.625","0.646","0.027","0.476","0.009","0.476","0.257","0.481","-0.067","0.33","0.108","-0.257","0.1"
"CD11C","NK_like","0.001","0.922","0.13","0.009","0.257","0.082","0.914","0.352","0.515","0.249","0.301","0.311","-0.242","0.037"
"CD11C","pDC","0.611","0.025","0.958","0.646","0.352","0.959","0.914","0.748","-0.041","-0.075","-0.158","-0.223","-0.175","-0.215"
"CD11C","UA","0.927","0.375","0.959","0.328","0.762","0.104","0.61","0.914","0.149","-0.038","0.05","-0.195","-0.101","-0.163"
"CD123","B","0.015","0.02","0.442","0.328","0.476","0.574","0.914","1","-0.06","-0.037","-0.072","-0.066","-0.036","-0.045"
"CD123","Baso","0.353","0.014","0.225","0.328","0.762","0.959","0.476","0.067","0.096","0.076","-0.239","0.112","-0.375","-0.068"
"CD123","CD4_T","0.301","0.76","0.506","0.916","0.762","0.104","1","0.165","0.018","0","0.014","0.022","-0.006","0.02"
"CD123","CD8_T","0.266","0.343","0.506","0.874","0.762","0.104","0.831","0.352","0.014","0","0.01","0.024","-0.004","0.022"
"CD123","cDC1","0.611","0.695","0.574","0.104","0.762","0.646","0.762","0.914","-0.131","-0.037","-0.154","-0.165","-0.05","-0.123"
"CD123","cDC2","0.554","0.232","0.799","0.646","0.476","0.959","0.762","0.762","-0.015","-0.063","-0.012","-0.114","-0.035","-0.141"
"CD123","DNT","0.501","0.91","1","0.51","0.73","0.377","0.556","0.905","-0.019","0.013","-0.029","-0.003","0.001","-0.005"
"CD123","DPT","0.174","0.77","0.268","0.799","0.762","0.195","0.067","0.762","-0.086","-0.005","-0.142","0.003","-0.055","-0.004"
"CD123","GMDSC","0.679","0.049","0.221","0.441","0.114","0.768","0.413","0.914","-0.096","-0.018","0.043","0.385","0.141","0.215"
"CD123","MMDSC_I","0.717","0.301","0.879","0.743","0.61","0.827","0.61","0.73","-0.025","-0.09","0.046","0.051","0.09","0.041"
"CD123","MMDSC_II","0.542","0.846","0.898","0.913","0.257","1","0.2","0.352","-0.176","-0.16","-0.651","0.15","-0.253","0.126"
"CD123","MMDSC_III","0.548","0.557","0.442","0.328","0.914","0.721","0.352","0.352","0.014","0.054","0.423","0.101","0.475","-0.039"
"CD123","Mono_I","0.854","0.625","0.721","0.959","0.171","0.506","1","0.762","-0.052","-0.019","0.133","0.106","0.202","0.023"
"CD123","Mono_II","0.744","0.695","0.441","0.383","0.61","0.115","0.476","0.171","-0.274","0.157","-0.101","0.065","0.246","-0.088"
"CD123","Mono_III","0.776","0.375","0.574","1","0.257","0.46","1","0.257","-0.028","0.002","0.053","0.032","0.092","0.011"
"CD123","Neu","1","0.695","0.959","0.574","0.915","0.246","0.257","0.067","0.04","-0.008","-0.004","0.058","-0.049","0.047"
"CD123","NK_like","0.887","0.236","0.874","0.792","0.669","0.596","0.114","0.114","-0.001","-0.001","-0.005","0.019","-0.005","0.015"
"CD123","pDC","0.818","0.557","0.279","0.506","0.352","0.959","0.914","1","0.015","0.02","0.006","0.024","-0.001","-0.075"
"CD123","UA","0.854","0.492","0.506","0.959","0.762","0.959","0.257","0.61","0.025","-0.158","0.04","-0.086","-0.008","-0.06"
"CD135","B","0.66","0.813","0.833","0.225","0.24","0.562","0.352","0.762","0.003","-0.005","0.015","0.001","0.01","0"
"CD135","Baso","0.459","0.722","0.792","1","0.454","0.959","1","0.914","-0.001","-0.009","0.004","-0.002","-0.011","-0.002"
"CD135","CD4_T","0.434","0.77","0.526","0.187","0.24","0.013","1","0.257","0.012","-0.002","0.005","0.005","-0.009","0.003"
"CD135","CD8_T","1","0.683","0.383","1","0.665","0.064","1","0.61","0.003","-0.003","0.005","0.003","0.002","0.003"
"CD135","cDC1","0.478","0.047","0.279","0.799","0.762","0.562","0.476","1","0.052","-0.036","-0.03","-0.03","-0.108","-0.038"
